0.1485558,0,_,_,_,0.02,				RECORDED AT FRAME:5
0.07554723,0,_,_,_,0.02,				RECORDED AT FRAME:6
0.007358804,0,_,_,_,0.02,				RECORDED AT FRAME:7
0.05174043,0,_,_,_,0.02,				RECORDED AT FRAME:35
0.102336,0,_,_,_,0.02,				RECORDED AT FRAME:36
0.1793576,0,_,_,_,0.02,				RECORDED AT FRAME:37
0.2441587,0,_,_,_,0.02,				RECORDED AT FRAME:38
0.3026227,0,_,_,_,0.02,				RECORDED AT FRAME:39
0.3695963,0,_,_,_,0.02,				RECORDED AT FRAME:40
0.4366588,0,_,_,_,0.02,				RECORDED AT FRAME:41
0.491259,0,_,_,_,0.02,				RECORDED AT FRAME:42
0.546478,0,_,_,_,0.02,				RECORDED AT FRAME:43
0.596507,0,_,_,_,0.02,				RECORDED AT FRAME:44
0.6721763,0,_,_,_,0.02,				RECORDED AT FRAME:45
0.6721763,0,_,_,_,0.02,				RECORDED AT FRAME:45
0.7542977,0,_,_,_,0.02,				RECORDED AT FRAME:46
0.8322781,0,_,_,_,0.02,				RECORDED AT FRAME:47
0.8916547,0,_,_,_,0.02,				RECORDED AT FRAME:48
0.9480162,0,_,_,_,0.02,				RECORDED AT FRAME:49
1,0,_,_,_,0.02,				RECORDED AT FRAME:50
1,0,_,_,_,0.02,				RECORDED AT FRAME:51
1,0,_,_,_,0.02,				RECORDED AT FRAME:52
1,0,_,_,_,0.02,				RECORDED AT FRAME:52
1,0,_,_,_,0.02,				RECORDED AT FRAME:53
1,0,_,_,_,0.02,				RECORDED AT FRAME:54
1,0,_,_,_,0.02,				RECORDED AT FRAME:55
1,0,_,_,_,0.02,				RECORDED AT FRAME:56
1,0,_,_,_,0.02,				RECORDED AT FRAME:57
1,0,_,_,_,0.02,				RECORDED AT FRAME:58
1,0,_,_,_,0.02,				RECORDED AT FRAME:59
1,0,_,_,_,0.02,				RECORDED AT FRAME:60
1,0,_,_,_,0.02,				RECORDED AT FRAME:61
1,0,_,_,_,0.02,				RECORDED AT FRAME:62
1,0,_,_,_,0.02,				RECORDED AT FRAME:62
